City_TD,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,Iralaya,15.0,-83.2333,81.86,83,100,13.31,HN,1659985812
210,Santa Cruz del Sur,20.7147,-77.9956,89.28,60,78,12.26,CU,1659985568
211,Hilo,19.7297,-155.09,84.27,92,100,6.91,US,1659985647
212,Gouré,13.9835,10.2704,83.39,52,45,4.23,NE,1659985816
213,North Bend,43.4065,-124.2243,61.86,91,100,8.05,US,1659985817
214,Bubaque,11.2833,-15.8333,79.68,80,100,14.03,GW,1659985820
215,Rock Springs,41.5875,-109.2029,82.24,28,0,12.66,US,1659985539
216,Leningradskiy,69.3833,178.4167,33.75,85,43,3.65,RU,1659985822
217,Salinópolis,-0.6136,-47.3561,83.52,71,8,13.65,BR,1659985592
218,Selizharovo,56.8519,33.4487,55.31,75,23,2.73,RU,1659985826
219,Khatanga,71.9667,102.5,55.63,96,100,7.18,RU,1659985828
220,Fortuna,40.5982,-124.1573,70.93,72,100,5.75,US,1659985829
221,Mnogovershinnyy,53.9353,139.9242,57.6,99,100,2.68,RU,1659985831
222,Butaritari,3.0707,172.7902,79.99,81,85,12.75,KI,1659985833
223,Wajima,37.4,136.9,82.38,80,100,17.94,JP,1659985838
224,Zhigalovo,54.8097,105.1578,50.9,95,16,0.92,RU,1659985839
225,Rewa,24.5333,81.3,84.25,66,7,9.62,IN,1659985840
226,Manono,-7.3,27.4167,78.66,26,2,5.68,CD,1659985842
227,Assiut,27.181,31.1837,91.74,23,0,9.26,EG,1659985843
228,Arraial do Cabo,-22.9661,-42.0278,73.26,83,100,5.75,BR,1659985844
229,Mandera,3.9366,41.867,85.35,37,100,19.82,KE,1659985846
230,Maraã,-1.8333,-65.3667,89.74,54,98,3.27,BR,1659985847
231,Alofi,-19.0595,-169.9187,73.29,88,40,8.05,NU,1659985848
232,Rokytnice nad Jizerou,50.7256,15.4336,62.24,59,8,4.61,CZ,1659985850
233,San Ramon,37.7799,-121.978,81.64,60,0,11.5,US,1659985807
234,Mayya,61.7333,130.2811,56.52,74,100,7.07,RU,1659985852
235,Abu Samrah,35.3029,37.1841,76.28,52,0,13.27,SY,1659985854
